Currency,FX Score,Levels,Current Price,Upper Level,Lower Level,Total Distance UL,% Away Lower,% Away Upper,SR Filter
GBPAUD,0,"[1.7739399671554565, 1.7834500074386597, 1.797510027885437, 1.8086899518966675, 1.81774, 1.81774, 1.8234299421310425]",1.81774,1.8234299421310425,1.8086899518966675,0.014739990234375,0.613979246894404,0.3860207531055961,NEUTRAL
GBPCHF,-2,"[1.258180022239685, 1.2626899480819702, 1.2671500444412231, 1.2714099884033203, 1.27172, 1.27172, 1.27524995803833, 1.28193998336792, 1.3073099851608276]",1.27172,1.27524995803833,1.2714099884033203,0.0038399696350097656,0.08073282503413876,0.9192671749658613,NEUTRAL
GBPJPY,4,"[149.05099487304688, 150.21099853515625, 151.2530059814453, 152.875, 153.876, 153.876, 154.4239959716797]",153.876,154.4239959716797,152.875,1.5489959716796875,0.6462250504851531,0.35377494951484695,NEUTRAL
GBPUSD,0,"[1.366819977760315, 1.375, 1.3865100145339966, 1.4008400440216064, 1.4039, 1.4039, 1.4165899753570557]",1.4039,1.4165899753570557,1.4008400440216064,0.01574993133544922,0.19428376627308036,0.8057162337269197,NEUTRAL
NZDCAD,-2,"[0.8663399815559387, 0.8665400147438049, 0.87294, 0.87294, 0.8819599747657776, 0.8887400031089783, 0.8967499732971191, 0.9081400036811829]",0.87294,0.8819599747657776,0.8665400147438049,0.015419960021972656,0.4150455154926125,0.5849544845073875,NEUTRAL
NZDJPY,2,"[76.65399932861328, 76.85099792480469, 77.6989974975586, 78.42900085449219, 78.621, 78.621, 79.41400146484375]",78.621,79.41400146484375,78.42900085449219,0.9850006103515625,0.19492286958003005,0.80507713041997,NEUTRAL
NZDUSD,-2,"[0.69964998960495, 0.7069000005722046, 0.71733, 0.71733, 0.7174999713897705, 0.7229300141334534, 0.730430006980896]",0.71733,0.7174999713897705,0.7069000005722046,0.010599970817565918,0.9839649190836626,0.016035080916337405,NEUTRAL
USDCAD,1,"[1.2044700384140015, 1.21708, 1.21708, 1.220270037651062, 1.2417999505996704, 1.2652900218963623]",1.21708,1.220270037651062,1.2044700384140015,0.015799999237060547,0.7980988730949109,0.20190112690508907,NEUTRAL
USDCHF,-2,"[0.8980799913406372, 0.90585, 0.90585, 0.9093199968338013, 0.9195399880409241, 0.9302099943161011, 0.943809986114502]",0.90585,0.9093199968338013,0.8980799913406372,0.011240005493164062,0.6912815713558499,0.30871842864415017,NEUTRAL
USDJPY,6,"[107.47100067138672, 108.4280014038086, 109.23999786376953, 109.602, 109.602, 109.95500183105469, 110.74500274658203]",109.602,109.95500183105469,109.23999786376953,0.7150039672851562,0.5062938847807815,0.4937061152192184,NEUTRAL
